[FimsReadDemon             ; 4:03:05]Program End.
[FimsSendDemon             ; 4:05:04] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 4:05:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 4:05:06]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 4:05:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 4:05:07]Program End.
[FimsSendDemon             ; 4:08:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 4:08:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 4:08:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 4:08:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 4:08:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 4:08:05]Program End.
[FimsReadDemon             ; 4:13:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 4:13:04]METS Db CONNECTION !! 
[FimsReadDemon             ; 4:13:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 4:13:04]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 4:13:04]METS Db Dis_Conn !! 
[FimsReadDemon             ; 4:13:04]Program End.
[FimsSendDemon             ; 4:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 4:18:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 4:18:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 4:18:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 4:18:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 4:18:01]Program End.
[FimsReadDemon             ; 4:23:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 4:23:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 4:23:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 4:23:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 4:23:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 4:23:03]Program End.
[FimsSendDemon             ; 4:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 4:28:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 4:28:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 4:28:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 4:28:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 4:28:01]Program End.
[FimsReadDemon             ; 4:33:01] SKT FIMS INF READ DEMON START >>>>> 
